emotionclass,attacktime,zerocross,rolloff,brightness,centroid,roughness,regularity,pitch
2,0.131097222,2393.782211,5088.689555,0.58633952,2877.449473,0.595530009,0.038282882,682.8777188
2,0.127501736,2220.374376,4841.442648,0.559780843,2730.583397,0.18043057,0.031160763,460.0646353
2,0.054490885,2245.508333,4823.662109,0.569852345,2704.501561,0.368552142,0.034583588,547.5799183
2,0.073723732,2184.35,4757.919922,0.552043437,2688.983399,1.756565509,0.089082048,1115.398427
2,0.044434896,2312.892768,4859.871805,0.58158249,2756.971476,0.615608005,0.016316721,1748.664181
2,0.072407895,2425.898079,5001.91886,0.582138554,2829.258453,0.95745568,0.031165726,1463.069647
1,0.030364583,2460.0,5733.829489,0.587668973,3158.088775,3.072724614,0.038214994,1978.699445
1,0.02916895,2641.248959,5894.941065,0.612469,3236.421212,8.323348432,0.069482062,773.525684
1,0.025493787,2633.78851,5828.297382,0.605881892,3178.43185,16.614282,0.127629605,1191.073031
1,0.02764386,2394.937552,5569.70276,0.594081702,2987.901103,15.35834141,0.073955046,488.5839648
1,0.025219697,2421.222386,5715.330232,0.596976157,3051.562769,14.7938689,0.101759891,745.2888178
1,0.167099826,1234.995844,3655.649878,0.446999398,2090.611021,7.667406841,0.039860699,563.9672016
1,0.066488281,1254.148581,3829.997089,0.46659853,2129.199725,3.158859551,0.017665536,323.0562011
1,0.025476763,803.4753551,3496.267872,0.356712057,1828.410099,6.980091031,0.03979618,272.0069367
1,0.027344262,766.1988304,3463.345865,0.337313245,1827.283191,8.26852001,0.046790967,346.4460806
1,0.026974571,725.2,3297.734375,0.325043532,1762.754885,24.64555594,0.07188813,251.5165728
1,0.021783816,858.9848993,3667.437867,0.355081042,1945.411836,6.6730099,0.087170072,291.7228174
1,0.0264142,1513.491272,4956.214821,0.494886037,2612.731102,3.288160205,0.197176014,587.4793929
2,0.024938477,1516.530782,4890.218776,0.490877111,2559.825878,3.764526218,0.163019155,576.1120751
2,0.024649123,1694.565217,5334.725779,0.517782178,2753.941111,6.051445273,0.155864899,520.8688002
2,0.021422585,1533.958333,5020.302734,0.496187087,2612.039501,6.533410304,0.168011884,516.8907802
2,0.020959741,1728.909242,5373.959201,0.530456744,2771.248713,5.117795648,0.126202887,523.9810405
1,0.02138398,1741.616667,5269.628906,0.521789844,2733.411449,4.741245253,0.122515753,566.981374
